layer,component,signed,abs
0,attn_out,-0.027227,0.385657
0,mlp_hidden,-0.050246,0.931004
0,mlp_out,-0.050246,0.668443
0,resid_post,-0.062294,0.858884
0,resid_pre,-0.050253,0.716633
1,attn_out,0.004221,0.156163
1,mlp_hidden,-0.003416,0.906951
1,mlp_out,-0.003416,0.428068
1,resid_post,-0.037943,1.162397
1,resid_pre,-0.062294,0.858884
2,attn_out,0.003667,0.237392
2,mlp_hidden,-0.002596,0.910252
2,mlp_out,-0.002596,0.500568
2,resid_post,-0.038398,1.433745
2,resid_pre,-0.037943,1.162397
3,attn_out,0.027144,0.405672
3,mlp_hidden,0.002677,0.855795
3,mlp_out,0.002677,0.491523
3,resid_post,-0.049038,1.608376
3,resid_pre,-0.038398,1.433745
4,attn_out,0.004949,0.284143
4,mlp_hidden,0.011804,0.919447
4,mlp_out,0.011804,0.513419
4,resid_post,-0.040274,1.893937
4,resid_pre,-0.049038,1.608376
5,attn_out,0.079677,0.472457
5,mlp_hidden,-0.010136,1.036872
5,mlp_out,-0.010136,0.600598
5,resid_post,0.079480,1.853711
5,resid_pre,-0.040274,1.893937
6,attn_out,0.071826,0.420691
6,mlp_hidden,-0.023519,1.091630
6,mlp_out,-0.023519,0.661357
6,resid_post,0.144903,1.993091
6,resid_pre,0.079480,1.853711
7,attn_out,0.166684,0.750358
7,mlp_hidden,-0.003236,1.144587
7,mlp_out,-0.003236,0.745157
7,resid_post,0.241738,2.172504
7,resid_pre,0.144903,1.993091
8,attn_out,0.272902,0.837347
8,mlp_hidden,-0.024342,1.148394
8,mlp_out,-0.024342,0.810190
8,resid_post,0.410291,2.259322
8,resid_pre,0.241738,2.172504
9,attn_out,0.090112,1.460888
9,mlp_hidden,0.011614,1.115286
9,mlp_out,0.011614,0.862775
9,resid_post,0.470590,2.670515
9,resid_pre,0.410291,2.259322
10,attn_out,-0.144738,0.766099
10,mlp_hidden,0.008578,0.941034
10,mlp_out,0.008578,0.699994
10,resid_post,0.541607,2.236385
10,resid_pre,0.470590,2.670515
11,attn_out,-0.217721,0.586790
11,mlp_hidden,0.002645,0.573420
11,mlp_out,0.002645,0.428196
11,resid_post,0.556113,1.661020
11,resid_pre,0.541607,2.236385
